UNIDAD ORGANICA;GENERICO;ORDEN;ESPECIFICA;IMPORTE;FACTOR
SECRETARIA GENERAL;001. ATENCION DE SOLICITUDES DE INFORMACION;1;DERECHO COPIA SIMPLE;0.10;0.000024
GERENCIA DE ADMINISTRACION TRIBUTARIA;009. PAGO DEL IMPUESTO ALCABALA;0;DERECHO DE REGISTRO;14.50;0.002643
SECRETARIA GENERAL;001. ATENCION DE SOLICITUDES DE INFORMACION;1;DERECHO COPIA CERTIFICADA O FEDATEADA;0.70;0.000119
GERENCIA DE ADMINISTRACION TRIBUTARIA;SOLICITUD DE MODIFICACION O RECTIFICACION DE LA BASE IMPONIBLE DEL IMPUESTO PREDIAL (INSPECCION OCULAR);1;DERECHO TRAMITE RECTIFICACION;0.00;0
GERENCIA DE ADMINISTRACION TRIBUTARIA;SOLICITUD DE MODIFICACION O RECTIFICACION DE LA BASE IMPONIBLE DEL IMPUESTO PREDIAL (INSPECCION OCULAR);1;INDUSTRIA;221.00;0.040187
GERENCIA DE ADMINISTRACION TRIBUTARIA;002. INSCRIPCION DE PREDIO, ALTA Y BAJA POR TRANSFERENCIA, DUPLICADO, ETC.;6;PRIMERA INSCRIPCION - DERECHO DE TRAMITE;0.00;0
GERENCIA DE ADMINISTRACION TRIBUTARIA;002. INSCRIPCION DE PREDIO, ALTA Y BAJA POR TRANSFERENCIA, DUPLICADO, ETC.;6;DERECHO DE TRAMITE - VERIFICACION CAT.  E INDEPENDIZACION;15.30;0.002786
GERENCIA DE ADMINISTRACION TRIBUTARIA;006. COPIAS CERTIFICADAS Y CONSTANCIAS;1;PAGO POR CERTIFICACION;15.30;0.002786
GERENCIA DE ADMINISTRACION TRIBUTARIA;006. COPIAS CERTIFICADAS Y CONSTANCIAS;1;DERECHO COPIAS SIMPLE(POR HOJA);0.10;0.000024
GERENCIA DE ADMINISTRACION TRIBUTARIA;006. COPIAS CERTIFICADAS Y CONSTANCIAS;1;DERECHO TRAMITE COSTANCIAS/CERTIFICACIONES;5.60;0.001024
GERENCIA DE ADMINISTRACION TRIBUTARIA;011. SOLICITUD DE PRESCRIPCION;23;PRESCRIPCION DEUDA TRIBUTARIA;42.80;0.007786
GERENCIA DE ADMINISTRACION TRIBUTARIA;011. SOLICITUD DE PRESCRIPCION;23;DERECHO DE TRAMITE PRESCRIPCION;5.20;0.000952
GERENCIA DE ADMINISTRACION TRIBUTARIA;004. SOLICITUD DE ENTIDADES INAFECTAS AL PAGO IMPUESTO PREDIAL;9;DERECHO TRAMITE INAFECTACION;10.30;0.001873
GERENCIA DE ADMINISTRACION TRIBUTARIA;008. CONSTANCIA DE INAFECTACION DE ALCABALA;13;DERECHO TRAMITE INAFECTACION ALCABALA;15.30;0.002786
GERENCIA DE ADMINISTRACION TRIBUTARIA;007. CONSTANCIA DE NO ADEUDO DE TRIBUTO MUNICIPAL;1;DERECHO DE TRAMITE LICENCIAS;5.20;0.000952
GERENCIA DE ADMINISTRACION TRIBUTARIA;007. CONSTANCIA DE NO ADEUDO DE TRIBUTO MUNICIPAL;1;CAMPAÑAS ESPECIALES FERIAS O SIMILARES;224.30;0.040786
GERENCIA DE ADMINISTRACION TRIBUTARIA;007. CONSTANCIA DE NO ADEUDO DE TRIBUTO MUNICIPAL;12;DERECHO TRAMITE CONSTANCIA NO ADEUDO;15.30;0.002786
GERENCIA DE ADMINISTRACION TRIBUTARIA;004. SOLICITUD DE ENTIDADES INAFECTAS AL PAGO IMPUESTO PREDIAL;1;DERECHO DE TRAMITE LICENCIAS;5.20;0.000952
GERENCIA DE ADMINISTRACION TRIBUTARIA;004. SOLICITUD DE ENTIDADES INAFECTAS AL PAGO IMPUESTO PREDIAL;1;DERECHO CAMBIO GIRO Y/O AMPLIACION PUESTOS/TIENDAS;37.30;0.006786
GERENCIA DE ADMINISTRACION TRIBUTARIA;005. DUPLICADO AUTOVALUO;1;DERECHO CAMBIO NOMBRE PUESTOS/TIENDAS EN MERCADOS;37.30;0.006786
GERENCIA DE ADMINISTRACION TRIBUTARIA;005. DUPLICADO AUTOVALUO;10;DERECHO TRAMITE DUPLICADO AUTOVALUO;15.30;0.002786
GERENCIA DE ADMINISTRACION TRIBUTARIA;003. SOLICITUD DEDUCCION 50 UIT DEL IMP. PREDIAL Y EXONERACION 30% ARB. MUNICIOALES, APLIACION DEDUCCION DEL IMP. PREDIAL PARA PENSIONISTA;7;DERECHO TRAMITE DEDUCCION DE 50 UIT DEL IMP. PREDIAL Y EXONERACION 30% ARB. MUNICIPALES;5.20;0.000952
GERENCIA DE ADMINISTRACION TRIBUTARIA;SOLICITUD DE MODIFICACION O RECTIFICACION DE LA BASE IMPONIBLE DEL IMPUESTO PREDIAL (INSPECCION OCULAR);1;VIVIENDA;15.40;0.002804
GERENCIA DE ADMINISTRACION TRIBUTARIA;OTROS INGRESOS;1;PAGO POR SERVICIO DE AGUA;0.00;0
SUB GERENCIA DE REGISTRO CIVIL;ES003. CONSULTA MEDICO A DOMICILIO,GINECOLOGO OBTETRIZ,ESTIMULACION TEMPRANA,TRIAJE,TOPICO,DESC.DE DIAGNOSTICO NUTRICIONAL, ANAL.DE LAB.;1;DEREC EXONER. ANUNCIO VOLUNTARIO;104.80;0.019048
GERENCIA DE EJECUCION COACTIVA;015. MULTAS DEUDAS - COACTIVO;1;MULTA DEUDA NO TRIBUTARIA - COACTIVO;0.00;0
SUB GERENCIA DE TRANSPORTE URBANO Y TRANSITO;PAPELETA DE INFRACCION;1;INFRACCIONES Y SANCIONES-TRANSPORTES;0.00;0
GERENCIA DE EJECUCION COACTIVA;013. SOLICITUD DE SILENCIO ADMINISTRATIVO POSITIVO;1;DERECHO DE SILENCIO ADMINISTRATIVO POSITIVO;30.80;0.005595
GERENCIA DE EJECUCION COACTIVA;013. SOLICITUD DE SILENCIO ADMINISTRATIVO POSITIVO;1;DERECHO DE TRAMITE;5.60;0.001024
GERENCIA DE ADMINISTRACION TRIBUTARIA;OTROS INGRESOS;1;PAGO POR SERVICIO DE ENERGIA ELECTRICA;0.00;0
SECRETARIA GENERAL;001. ATENCION DE SOLICITUDES DE INFORMACION;1;FOTOSTATICAS;0.00;0
SUB GERENCIA DE REGISTRO CIVIL;ES003. CONSULTA MEDICO A DOMICILIO,GINECOLOGO OBTETRIZ,ESTIMULACION TEMPRANA,TRIAJE,TOPICO,DESC.DE DIAGNOSTICO NUTRICIONAL, ANAL.DE LAB.;1;APERT. EXP MATRIM PAG UNICO;59.70;0.010857
SUB GERENCIA DE REGISTRO CIVIL;ES003. CONSULTA MEDICO A DOMICILIO,GINECOLOGO OBTETRIZ,ESTIMULACION TEMPRANA,TRIAJE,TOPICO,DESC.DE DIAGNOSTICO NUTRICIONAL, ANAL.DE LAB.;1;LABORAL EN MDNCH;59.70;0.010857
SUB GERENCIA DE REGISTRO CIVIL;ES003. CONSULTA MEDICO A DOMICILIO,GINECOLOGO OBTETRIZ,ESTIMULACION TEMPRANA,TRIAJE,TOPICO,DESC.DE DIAGNOSTICO NUTRICIONAL, ANAL.DE LAB.;1;LABORAL FUERA MDNCH DE 16:00 A 18:00 HORAS;149.70;0.027214
SUB GERENCIA DE REGISTRO CIVIL;ES003. CONSULTA MEDICO A DOMICILIO,GINECOLOGO OBTETRIZ,ESTIMULACION TEMPRANA,TRIAJE,TOPICO,DESC.DE DIAGNOSTICO NUTRICIONAL, ANAL.DE LAB.;1;DERECHO DE PAGO DE CONSULTA;9.20;0.001667
